"Cestna vozila konec leta (31.12.) glede na vrsto vozila in statistièno regijo, Slovenija, letno"

"VRSTA VOZILA";"STATISTIÈNA REGIJA";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"....vlaèilci";"Posavska";171;194;223;218;205;201;203;223;216;271;313;376;493;510
"....vlaèilci";"Jugovzhodna Slovenija";738;880;994;931;913;888;872;896;910;946;1044;1159;1192;1265
"....vlaèilci";"Osrednjeslovenska";1493;1829;2018;1938;2065;2084;2239;2330;2515;2822;3223;3679;4306;4674
"....vlaèilci";"Gorenjska";650;750;800;747;751;796;831;840;876;962;1085;1185;1245;1274
"....vlaèilci";"Primorsko-notranjska";322;333;380;368;372;390;404;414;402;423;492;546;570;602
"....vlaèilci";"Goriška";645;718;783;711;697;716;729;753;786;877;977;1022;1083;1097
"....vlaèilci";"Obalno-kraška";672;873;949;825;784;763;724;694;729;809;926;992;1070;1059
"....specialni tovornjaki";"Pomurska";345;358;365;359;367;366;350;351;343;366;380;378;389;404
"....specialni tovornjaki";"Podravska";854;921;964;946;938;924;901;918;970;988;1023;1095;1131;1183
"....specialni tovornjaki";"Koroška";159;170;179;170;162;164;176;166;170;168;184;179;188;195
"....specialni tovornjaki";"Savinjska";685;748;801;817;840;866;890;922;942;1007;1074;1138;1189;1193
"....specialni tovornjaki";"Zasavska";45;48;49;51;45;44;40;44;41;93;99;103;103;119
"....specialni tovornjaki";"Posavska";167;185;196;197;201;205;196;207;220;238;250;271;282;312
"....specialni tovornjaki";"Jugovzhodna Slovenija";598;625;670;640;649;666;656;644;674;744;794;859;885;887
"....specialni tovornjaki";"Osrednjeslovenska";1814;1931;2074;2123;2178;2184;2247;2307;2354;2456;2706;2901;3073;3152
"....specialni tovornjaki";"Gorenjska";369;373;414;424;477;506;511;531;587;618;697;761;787;813
"....specialni tovornjaki";"Primorsko-notranjska";174;181;194;187;203;226;225;227;241;253;244;232;241;240
"....specialni tovornjaki";"Goriška";318;314;329;316;326;336;343;359;385;395;431;451;460;473
"....specialni tovornjaki";"Obalno-kraška";385;402;418;397;415;386;366;360;355;389;423;462;475;480
"..traktorji";"Pomurska";14623;12921;13215;13453;13477;13624;13962;14130;14319;14460;14531;14659;14783;14961
"..traktorji";"Podravska";13402;12414;13110;13538;13818;14299;14912;15296;15727;16185;16297;16537;16775;17177
"..traktorji";"Koroška";1965;1802;2009;2151;2266;2437;2572;2742;2872;2959;3050;3108;3234;3387
"..traktorji";"Savinjska";9695;9454;10138;10547;10967;11509;12337;12942;13447;13467;13865;14244;14692;15199
"..traktorji";"Zasavska";595;567;618;679;726;792;884;925;1033;1953;2009;2063;2146;2202
"..traktorji";"Posavska";5390;5317;5671;5988;6172;6439;6779;7034;7109;7721;7851;7994;8139;8309
"..traktorji";"Jugovzhodna Slovenija";9891;9395;9966;10321;10626;11097;12123;12589;12967;13222;13373;13575;13884;14168
"..traktorji";"Osrednjeslovenska";10526;9940;10463;10796;11016;11486;12487;12993;13674;13414;13711;14013;14294;14533
"..traktorji";"Gorenjska";6182;5668;5952;6089;6181;6371;6665;6874;7137;7358;7466;7550;7670;7846
"..traktorji";"Primorsko-notranjska";4262;4037;4149;4280;4373;4542;4720;4912;5177;5344;5426;5493;5587;5626
"..traktorji";"Goriška";6902;6002;6185;6338;6459;6585;6627;6835;7090;7280;7454;7638;7791;7970
"..traktorji";"Obalno-kraška";2871;2676;2840;2928;3006;3232;3491;3695;3866;3989;4025;4138;4169;4239
